Protein_names	Gene_names	UniprotID	LFQ_intensity_R1_1	LFQ_intensity_R1_2	LFQ_intensity_R2_1	LFQ_intensity_R2_2	LFQ_intensity_R20_1	LFQ_intensity_R20_2	LFQ_intensity_R22_1	LFQ_intensity_R22_2	LFQ_intensity_R25_1	LFQ_intensity_R25_2	LFQ_intensity_R28_1	LFQ_intensity_R28_2	LFQ_intensity_R29_1	LFQ_intensity_R29_2	LFQ_intensity_R31_1	LFQ_intensity_R31_2	LFQ_intensity_R33_1	LFQ_intensity_R33_2	LFQ_intensity_R36_1	LFQ_intensity_R36_2	LFQ_intensity_R37_1	LFQ_intensity_R37_2	LFQ_intensity_R39_1	LFQ_intensity_R39_2	LFQ_intensity_R4_1	LFQ_intensity_R4_2	LFQ_intensity_R8_1	LFQ_intensity_R8_2	LFQ_intensity_R9_1	LFQ_intensity_R9_2
Albumin	Alb	A0A0G2JSH5	7147600	7295100	12134000	12092000	4060400	4031600	7950700	8235300	7838000	7697200	7773500	7947300	9168300	9073300	8082100	8002900	4878600	4992200	6716400	7148600	8389700	8433400	9923100	10225000	7151500	7501000	7527500	7520100	4487000	4550000
Myosin-11	Myh11	A0A0G2K6S9	1706600	1785200	2016100	1932000	2080200	2224000	2410100	2513200	1841600	1864100	2522300	2503900	2784100	2893400	2828700	2880900	1406100	1339900	1675700	1681600	3062100	3164000	1904900	1982100	349690	320140	2956400	2996700	48621	33285
Actin	Acta2	A0A0G2K4M6	3897500	3919900	3797000	3568900	3159900	3671400	4355100	4484200	3777500	3427600	3990100	4305600	3978500	4049700	4444700	4556200	3551600	3967700	3219000	3364900	5042300	4874600	4221800	4384300	2210700	2103900	4956100	5111700	1651100	1568400
Actin	Actb	P60711	5835500	5892400	4373700	4040500	4543400	4613300	4508800	4934200	4822300	4840300	4274000	4423800	3849900	3770900	4197600	3887200	4873900	4706300	4332300	4319900	4852900	4732200	4894500	5123400	3269600	3585700	5036600	5022200	2576100	2319600
Filamin	Flna	C0JPT7	1195700	1292900	1133900	1064200	1390500	1463200	1780500	1762900	1395500	1361000	1576100	1673000	1882500	1882900	1432000	1385700	1156700	1113400	1278100	1330000	2112600	2103600	1399100	1350000	463380	457730	2173900	2223200	296440	231970
Collagen	Col6a1	D3ZUL3	2549800	2704300	2484400	2280300	1082100	1132900	2395100	2626300	2653000	2785100	3120600	3072900	2785400	2789400	2238100	2024600	2186400	2201100	1303200	1384000	2881600	2961200	2400800	2369200	446840	330160	2365200	2188800	231030	126980
Collagen	Col6a2	F1LNH3	2345900	2482900	1734000	1542100	928730	955660	1692300	1763800	1899200	1964300	2277300	2400400	1967400	1978300	1687200	1697200	1399800	1319300	892840	854900	1862900	2015500	1648000	1668800	439540	385210	1732300	1710400	147570	74963
Histone	H4c2	P62804	7179600	8433800	7831700	8498700	1470400	1542500	3474200	3954000	3043600	2833200	1915600	2332700	1050600	879370	3623100	3036600	8737500	8771900	2024000	2017700	1662700	1672400	3171900	3597000	8492900	8572900	2415000	2478100	2378600	2287000
Globin	Hbb	A0A0G2JSW3	5686000	5978500	20225000	17752000	6775800	7304900	3228500	3239000	2628400	2576000	4662900	4207900	3094600	3197500	3315300	3507600	2374700	2378700	2340900	2566200	4572600	4441600	3448200	3729000	8681400	10881000	4094100	4065200	1483700	1288000
8602800	8304500	5837600	5517100	4479300	5043100	8546500	10641000	5435200	5063400	1429600	1486300	1839900	2151200	1922700	1790500	6561800	6407800	180600	288090	2735700	2660100	1474300	2588200	11658000	12538000	8213500	7925400	493080	332920
Histone	P02262	10013000	9579900	14147000	13863000	5153800	5515300	4609800	4333000	5070300	5080800	7557900	6162600	4223900	4481800	12459000	12081000	9833600	9736500	4500800	4287200	4970900	5918200	3713700	3772400	2021400	2495000	4306700	4633600	2078200	2197900
Laminin	Lama1	E3W9F8	7665.1	9660	20477	21210	4110600	5238300	50000	21761	45025	8978.2	20586	17478	8461.6	7366.2	6247.5	8110.6	926880	920190	120360	105480	91.405	20.837	567.72	35.58	1852.5	1472.2	135420	116440	1803300	1914800
Laminin	Lamc1	F1MAA7	134720	147440	99399	94244	4584600	4940800	107240	99378	100260	88526	126490	122200	104600	100410	116320	111000	599120	593080	194410	181280	127640	121760	75070	74686	128110	126660	141910	141590	2671600	2665300
Transgelin	Tagln	P31232	912280	892810	1170200	1088500	1263800	1328700	1820100	1951500	1164900	1168500	1608900	1464600	2017700	2045900	1691400	1677200	955070	954720	1145500	1280500	1968200	1993700	1407300	1428200	478870	463100	2250500	2298500	68469	49675
Collagen	Col6a4	F1M6H4	782390	900420	664140	505030	207380	209590	1057600	1058000	1381700	1363000	1317000	1231600	1098000	1125300	545940	512060	441930	457210	434890	442240	1088500	1055000	949310	969580	7092.7	2530.1	909900	872890	10021	149.2
Laminin	Lamb1	D3ZQN7	45556	157970	45503	76624	9606500	8923800	201170	132540	114740	68702	215440	153140	96293	111440	95881	131250	1460800	1454000	279550	272460	171120	34648	151180	58168	150840	155970	274620	253880	6352600	6159900
AHNAK	Ahnak	A0A0G2JUA5	690280	746610	946140	947710	744640	797030	881090	861490	780460	770550	1056500	1147900	1166600	1176400	1325100	1277300	719950	711540	597730	595690	1110100	1116500	891480	910660	1083000	1061300	1051400	1080500	477670	439480
Tubulin	Tubb4b	G3V7C6	1065000	1016100	1885400	1725200	1479500	1545000	1457500	1500100	1581000	1417300	1673400	1815800	1583600	1549000	1581800	1563000	1809700	1795300	1462600	1414600	1622700	1746700	1475900	1439400	1428000	1612200	1581000	1605100	2048700	1917900
Globin	Hba-a1	B1H216	4843500	4531500	5323400	4675000	2691200	2935500	1683800	1815200	1323200	1229800	1546000	1510600	1916900	1936300	1656000	1990300	1284200	1179600	1288800	1453500	2370800	2221700	1686000	1771500	6567100	7178300	2356500	2441100	995720	886720
Collagen	Col1a1	P02454	4948300	5859300	2855000	3021600	4730800	4830600	2875300	3320000	4398400	4700300	4963800	3671700	4131600	4005100	3795300	3798500	5347800	4831900	2038400	2061700	4422700	4293000	4198300	3755100	1233200	1110200	5181400	5991000	268340	252370
Signal	Tf	Q7TMC7	680020	707940	1791400	1764500	511210	550630	836610	856730	756480	724660	613640	642870	837680	769610	613660	633340	455570	498960	995440	1087300	587140	615900	738970	794380	2076400	2123000	654590	709670	575560	577930
Myosin	Myl6	A0A0G2K6J5	3731600	4089200	4863300	4655500	7212400	7633900	8652600	9041400	6534200	6903200	7507100	7427200	8390200	7955600	9335500	8777200	5414100	4771400	6683200	6737500	9279800	9065400	8552600	7900900	3255200	3273100	7666400	7765300	1891300	2184700
Glyceraldehyde-3-phosphate	Gapdh	P04797	2349700	2516400	2381400	2228400	2154100	2262500	2115200	2174800	2185000	2038100	2096400	2093500	2072300	2158100	2296700	2183500	2825100	2542900	2097200	2247000	2564900	2593400	2086100	1991900	1007200	981190	2309000	2347000	1237200	1188700
Myosin	Myh9	G3V6P7	314100	324410	435770	398160	762420	801330	432670	434570	439330	454490	492700	474670	462320	488270	503210	528360	525480	545860	491590	487870	393980	406090	448340	471820	506470	478220	419970	423860	828810	820480
Similar	Tpm2	Q5FVG5	1041800	1115000	939630	962380	1751900	1736000	1659700	1557600	1110600	1124700	1665600	1567000	2484900	2543400	1861700	1712000	941740	986340	1409600	1466600	1766600	1873100	1337800	1292900	1129200	1022200	2227000	2350300	351560	455120
Vimentin	Vim	G3V8C3	669790	696450	863930	885030	739410	784120	886550	875070	715100	745030	830040	831420	848390	800040	919000	899720	793240	744600	904680	889910	798030	794700	788910	739000	1052800	982920	993380	985150	409980	393180
Tubulin	Tuba1b	Q6P9V9	919740	815290	872650	817520	942700	976960	835470	912810	1013800	995610	853190	881540	787980	812710	792840	766650	1037600	1104200	801490	733540	1024400	937640	966940	912480	1080200	1072200	1009600	998980	483800	539500
Alpha-actinin	Actn1	Q6GMN8	701550	686400	876690	983870	905220	969400	1015700	1004700	956070	960050	1121200	1081900	1190100	1163900	1053800	1023500	680070	666550	947710	924300	1088800	1098200	922420	884740	367570	384410	1085500	1060800	242380	274540
Elongation	Eef1a1	P62630	1779500	1603800	1384100	1232800	1510500	1507200	1865300	2020900	1489700	1603000	1183600	1248700	1428900	1564600	1212700	1184400	2349800	2182100	1521100	1402500	1399700	1459400	1750000	1798500	1475600	1439500	1706500	1828800	1684800	1639200
RCG55135	Tln1	G3V852	403260	422370	428550	405970	417020	442450	486340	464230	496760	485600	581560	594290	556130	562520	593710	604360	366020	358830	468360	463660	609860	611760	442320	434920	263070	250880	522820	507170	100530	100250
Periostin	Postn	A0A097BW25	666160	658240	1156500	1198200	533310	550960	514030	506560	352960	333670	705070	727610	1312000	1373500	1071500	1069800	1220000	1200400	653890	674800	2280800	2357000	378620	372190	117990	96278	488360	506560	14240	9255.7
Mimecan	Ogn	D3ZVB7	2862200	2671400	2966700	2991400	842620	846760	2140300	2146900	2986500	3188200	3060500	3148700	2163500	2547200	2817800	2663200	2004400	2091800	1401300	1306000	2377900	2104200	2462100	2397300	788260	683300	1576500	1709600	33690	16092
Histone	Hist1h2bl	M0R4L7	16264000	16169000	6591000	5277900	3123300	3683200	4837100	4834600	2638400	2476700	4178900	3914400	2774600	2934100	5807500	5944300	9972300	8431300	2946000	3482900	3240400	3693600	5276500	4280600	3200000	3226800	2988800	2898800	3626400	3139500
Desmin	Des	Q6P725	662100	752670	873220	836400	1304400	1339000	1454000	1491200	569910	558810	811420	866250	1016100	1054400	1033500	1021100	767680	720240	819770	829760	1841800	1917400	708040	682430	155970	156620	1792000	1861900	62838	29208
Metavinculin	Vcl	R9PXU6	398640	449660	522840	492320	615370	639600	573370	584100	626710	603930	737200	723260	625480	634550	631410	644560	446160	447310	579300	663000	810370	822560	416570	429350	260900	249740	731060	755880	212870	187120
Calponin-1	Cnn1	Q08290	624270	624280	900100	914350	889980	869320	1523900	1483900	1420700	1418900	1894700	1971400	1193100	1214200	1458000	1482300	647230	649320	1390200	1227400	1560500	1522400	1180900	1156000	4938.3	184.76	1866200	1865100	23376	23909
Decorin	Dcn	Q01129	2134700	2305500	1955400	1873500	881920	983560	1086600	1115500	2030800	1936600	2049700	2229800	1698800	1877900	2415400	2272800	2015500	1870900	895970	912200	1874000	2023000	1248800	1163800	346430	351570	1247000	1204800	6442.8	1951
2-phospho-D-glycerate	Eno1	Q5BJ93	382620	403960	508510	502720	969680	994120	725000	727070	725600	690660	579220	596210	589800	580790	613810	625420	997260	1026900	667900	657060	631390	683980	641520	611540	569220	548980	564490	599280	984640	954680
Creatine	Ckb	P07335	826090	879550	1061400	992550	966630	1060700	1529100	1508400	1538600	1385400	1528900	1758600	1769900	1669900	1282200	1312800	1043100	1061700	1281900	1198200	1863000	1836500	1610100	1532700	812870	900370	1899500	1786300	567080	587670
