rat_ID	group_ID	LFQ_ID
R_4	T_LG	LFQ_intensity_4_1
R_20	T_LG	LFQ_intensity_20_1
R_1	N_LG	LFQ_intensity_1_1
R_2	N_LG	LFQ_intensity_2_1
R_31	N_LG	LFQ_intensity_31_1
R_33	N_LG	LFQ_intensity_33_1
R_8	T_STD_LO	LFQ_intensity_8_1
R_37	T_STD_LO	LFQ_intensity_37_1
R_39	T_STD_LO	LFQ_intensity_39_1
R_22	T_STD_LO	LFQ_intensity_22_1
R_9	T_STD_HI	LFQ_intensity_9_1
R_36	N_STD	LFQ_intensity_36_1
R_25	N_STD	LFQ_intensity_25_1
R_28	N_STD	LFQ_intensity_28_1
R_29	N_STD	LFQ_intensity_29_1
R_4	T_LG	LFQ_intensity_4_2
R_20	T_LG	LFQ_intensity_20_2
R_1	N_LG	LFQ_intensity_1_2
R_2	N_LG	LFQ_intensity_2_2
R_31	N_LG	LFQ_intensity_31_2
R_33	N_LG	LFQ_intensity_33_2
R_8	T_STD_LO	LFQ_intensity_8_2
R_37	T_STD_LO	LFQ_intensity_37_2
R_39	T_STD_LO	LFQ_intensity_39_2
R_22	T_STD_LO	LFQ_intensity_22_2
R_9	T_STD_HI	LFQ_intensity_9_2
R_36	N_STD	LFQ_intensity_36_2
R_25	N_STD	LFQ_intensity_25_2
R_28	N_STD	LFQ_intensity_28_2
R_29	N_STD	LFQ_intensity_29_2
