pathway	pval	padj	ES	NES	nMoreExtreme	size
HALLMARK_ADIPOGENESIS	0.15124603918350787	0.19390517844039473	0.2417397906912677	1.1596605953896204	99902	199
HALLMARK_ALLOGRAFT_REJECTION	1.0657052989912339e-5	4.8441149954147e-5	0.38082619288796477	1.8148344195286494	6	189
HALLMARK_ANDROGEN_RESPONSE	0.28396915414556567	0.3463038465189825	-0.23752307049175717	-1.083656178961082	108557	97
HALLMARK_ANGIOGENESIS	0.474682988534663	0.5159597701463728	-0.2690335912324977	-0.9846575113622539	200010	34
HALLMARK_APICAL_JUNCTION	0.3675938977119458	0.4204456874639853	0.21710536880675704	1.0374946525355624	242014	193
HALLMARK_APICAL_SURFACE	0.36999220496830704	0.4204456874639853	0.2872460885040589	1.054560483113188	216440	42
HALLMARK_APOPTOSIS	0.10911776662663426	0.15492949110034965	0.26118383987251614	1.2131675177260757	70323	156
HALLMARK_BILE_ACID_METABOLISM	0.0015346388767667268	0.004513643755196256	0.37773206696339107	1.6471994676086772	952	103
HALLMARK_CHOLESTEROL_HOMEOSTASIS	2.529749858334008e-6	1.5400228847400673e-5	-0.5033840591673466	-2.178625282749989	0	73
HALLMARK_COAGULATION	0.028637921527499974	0.05724641702413274	-0.2847733538934462	-1.3547889171097376	10594	124
HALLMARK_COMPLEMENT	0.31052325244774637	0.3696705386282695	0.22372220226823783	1.064748262793242	203801	187
HALLMARK_DNA_REPAIR	0.09578235717258353	0.1408564076067405	-0.2508746190855591	-1.2148562499530728	34752	139
HALLMARK_E2F_TARGETS	2.930918256689821e-6	1.5400228847400673e-5	-0.59581698914048975	-3.028286330456639	0	194
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.693509769799465e-4	5.292218030623329e-4	-0.3255455767218398	-1.64989010612685	57	190
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.009662055921427432	0.021959218003244164	0.296493726353214	1.4159470329442796	6359	192
HALLMARK_ESTROGEN_RESPONSE_LATE	0.07749251683333029	0.11741290429292468	0.2583191783678204	1.235303866361178	51052	194
HALLMARK_FATTY_ACID_METABOLISM	0.05858809689055152	0.10101396015612331	0.2775799465655209	1.284480594829315	37649	152
HALLMARK_G2M_CHECKPOINT	2.9348406675001616e-6	1.5400228847400673e-5	-0.5745620994651669	-2.922065956055997	0	195
HALLMARK_GLYCOLYSIS	1.1119011461359972e-4	3.7063371537866574e-4	-0.32820189398632377	-1.6656912222006943	37	192
HALLMARK_HEDGEHOG_SIGNALING	0.3942175254257792	0.4380194726953102	0.29722055634218325	1.0405034576140977	228111	34
HALLMARK_HEME_METABOLISM	0.06838965280214857	0.11030589161636864	-0.24340281946818038	-1.2269993336521634	23579	183
HALLMARK_HYPOXIA	2.6278599876198596e-5	1.0107153798537922e-4	-0.33945176965884566	-1.7203677651130174	8	190
HALLMARK_IL2_STAT5_SIGNALING	0.06116109943254311	0.10193516572090519	0.26350453986027356	1.2592251980061082	40266	193
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.5342211402913382	0.5683203620120618	0.2262006454285602	0.960366620390133	327421	88
HALLMARK_INFLAMMATORY_RESPONSE	7.595955913071881e-5	2.712841397525672e-4	0.3549197499675207	1.6949686358663447	49	192
HALLMARK_INTERFERON_ALPHA_RESPONSE	1.623716654948845e-6	1.5400228847400673e-5	0.5360743140501258	2.2979108573275258	0	93
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.5178837058219948e-6	1.5400228847400673e-5	0.47592838812597776	2.2759292657935384	0	194
HALLMARK_KRAS_SIGNALING_DN	3.0800457694801343e-6	1.5400228847400673e-5	0.4141978600406513	1.9452104292725791	1	169
