ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000030170	Krt10	ENSG00000186395	KRT10	10545.698621255759	7.8581471544895045	0.786967390236312	9.985352953608212	1.7667119349462012e-23	3.4060439393827815e-19
ENSRNOG00000004632	Pmch	ENSG00000183395	PMCH	12.818091974171974	-23.090056880711025	2.5955899078728404	-8.895880204602113	5.795807429472929e-19	5.58686857164043e-15
ENSRNOG00000028996	Krt1	ENSG00000167768	KRT1	1652.5725241695004	8.141105024197179	0.9293137930022989	8.760340248363278	1.946618960581761e-18	1.2509622313685257e-14
ENSRNOG00000022353	Klk13	ENSG00000167759	KLK13	44.77295217190395	29.083482122776783	3.4340027387638656	8.469265849579937	2.4694448546307108e-17	9.521685470485095e-14
ENSRNOG00000020380	Lgals7	ENSG00000205076	LGALS7	2089.7637990008684	7.614971871584843	0.897743694588453	8.482345147604436	2.206997277646488e-17	9.521685470485095e-14
ENSRNOG00000020380	Lgals7	ENSG00000178934	LGALS7B	2089.7637990008684	7.614971871584843	0.897743694588453	8.482345147604436	2.206997277646488e-17	9.521685470485095e-14
ENSRNOG00000017100	Yme1l1	ENSG00000136758	YME1L1	30.79382244036807	-24.7412372083769	3.0093817089013615	-8.221368906176151	2.0119334658704882e-16	6.46467754808619e-13
ENSRNOG00000022210	Alox12b	ENSG00000179477	ALOX12B	6.511056054924597	23.21245445577991	3.0488759081071684	7.613446776910931	2.668812549475404e-14	7.350291020190903e-11
ENSRNOG00000018679	Rptn	ENSG00000215853	RPTN	47.27338139512143	31.53610057242659	4.260890013013386	7.401294207574168	1.3486355816887202e-13	3.2500431724221047e-10
ENSRNOG00000031437	Slurp2			7.102895943571219	23.727288461197045	3.3581817304976225	7.065516510233973	1.6001965833929281e-12	3.4277988812480295e-9
