Protein_names	Gene_names	UniprotID	LFQ_intensity_1_1	LFQ_intensity_1_2	LFQ_intensity_2_1	LFQ_intensity_2_2	LFQ_intensity_20_1	LFQ_intensity_20_2	LFQ_intensity_22_1	LFQ_intensity_22_2	LFQ_intensity_28_1	LFQ_intensity_28_2	LFQ_intensity_29_1	LFQ_intensity_29_2	LFQ_intensity_31_1	LFQ_intensity_31_2	LFQ_intensity_33_1	LFQ_intensity_33_2	LFQ_intensity_36_1	LFQ_intensity_36_2	LFQ_intensity_37_1	LFQ_intensity_37_2	LFQ_intensity_39_1	LFQ_intensity_39_2	LFQ_intensity_4_1	LFQ_intensity_4_2	LFQ_intensity_25_1	LFQ_intensity_25_2	LFQ_intensity_8_1	LFQ_intensity_8_2	LFQ_intensity_9_1	LFQ_intensity_9_2__
		A0A0G2K047	0	0	15263	21411	7820.3	0	13672	12361	0	21517	12701	13937	0	12204	7618.9	13123	18299	21465	13150	0	24415	18184	13517	8490.9	23556	22026	7511.1	10709	0	0
		A0A0G2K0D3	114470	35627	52367	65918	66498	79194	118970	142770	77268	127850	126900	121580	141460	134020	68674	64559	58629	70706	162070	164480	76426	77695	20713	0	66605	73802	112950	123880	0	0
		A0A0G2K2P5	43688	93022	88486	90635	25773	26538	35490	45484	55349	64197	20416	28031	72147	99316	46505	36621	35523	33279	27153	5126.5	25300	25552	32705	38341	45072	26415	30559	9790.3	22920	14908
Acyl-CoA-binding domain-containing protein 5	Acbd5	A0FKI7-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Obg-like ATPase 1	Ola1	A0JPJ7	30830	29295	18154	16266	27615	18858	23777	28349	8074	17007	20289	21334	14629	15860	17965	18764	14799	15947	21135	19388	20438	33640	14165	11217	18858	20962	17993	14933	4506.7	14033
Eukaryotic translation initiation factor 3 subunit J	Eif3j	A0JPM9	0	0	11480	9436.8	16860	14996	24518	35385	25129	26404	31287	18314	28540	0	0	0	22192	37276	21961	22881	20532	7124.3	5754.7	0	17041	15910	20266	11524	0	0
Zinc transporter ZIP4	Slc39a4	A0JPN2	0	0	0	0	9147.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6478	0
Chitinase domain-containing protein 1	Chid1	A0JPQ9	0	0	0	0	7413.5	7194.2	3097.5	2961.3	0	0	0	1746.8	1347.1	0	3353.3	3940.2	6214.9	0	0	0	5325	0	0	0	3601.3	0	0	0	18189	17338
Shootin-1		A0MZ67	0	0	15294	19686	5907.6	8619.9	1270	928.28	14469	6131.9	796.82	0	0	0	25122	8033.1	2049.7	0	0	0	0	0	2539.2	14527	1125.5	0	2254.5	0	126610	111030
Ribosome biogenesis regulatory protein homolog	Rrs1	A1A5P2	0	0	0	0	0	0	0	0	33251	0	18852	24207	0	0	29149	30582	81663	86011	0	56259	55342	48422	0	0	0	0	0	35953	0	0
