pathway	pval	padj	ES	NES	nMoreExtreme	size
HALLMARK_ADIPOGENESIS	0.4042587774184895	0.48126044930772555	0.23043359187937645	1.0246619995388646	305919	199
HALLMARK_ALLOGRAFT_REJECTION	0.024350517803024163	0.04682791885196955	-0.260985531718067	-1.2958921642992527	6009	192
HALLMARK_ANDROGEN_RESPONSE	0.3008152208717036	0.3856605395791072	-0.23917287088570544	-1.070100404490929	93946	97
HALLMARK_ANGIOGENESIS	0.20717580781478545	0.2959654397354078	-0.3226190812528974	-1.177163583563891	79176	36
HALLMARK_APICAL_JUNCTION	0.20051942960748761	0.29488151412865826	-0.22088814936824996	-1.0998928967550234	49103	196
HALLMARK_APICAL_SURFACE	0.5859539938243531	0.6433199000623157	0.26620122131268553	0.9214020577977587	367190	42
HALLMARK_APOPTOSIS	6.421600471912965e-4	0.002140533490637655	-0.3289505825489275	-1.588106033801949	171	157
HALLMARK_BILE_ACID_METABOLISM	0.42003186158389	0.4884091413766163	0.24782847843404127	1.019248179197161	293453	110
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.025539228014706764	0.04729486669390141	-0.33404450680048214	-1.422598756614919	8529	74
HALLMARK_COAGULATION	2.706679251568486e-4	9.666711612744593e-4	-0.3646027072980106	-1.7058281483427475	77	127
HALLMARK_COMPLEMENT	0.003306263801238039	0.008265659503095097	-0.2913372083256817	-1.443504536880485	821	189
HALLMARK_DNA_REPAIR	0.0014548706327925903	0.00417090400985544	0.3753895544209268	1.600680516205934	1050	142
HALLMARK_E2F_TARGETS	0.25107915195095826	0.33036730519862934	0.24853179471548537	1.1019855163276453	189387	194
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4.0339334481659725e-6	2.9363177283706432e-5	-0.5139002092435079	-2.54789351530664	0	190
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.00982903263440347	0.021367462248703194	0.3206753917826848	1.4218689306603782	7413	194
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0011989885184965107	0.003746839120301596	0.3485917016027481	1.5510010000575207	907	200
HALLMARK_FATTY_ACID_METABOLISM	0.014702658262537681	0.030630538046953506	0.32999935870646346	1.4209904189553808	10729	153
HALLMARK_G2M_CHECKPOINT	0.5918543080573304	0.6433199000623157	0.21315943772211876	0.9457054258826729	446762	195
HALLMARK_GLYCOLYSIS	0.1548119714948868	0.2418937054607606	-0.2265958724732906	-1.1274703005085813	37951	195
HALLMARK_HEDGEHOG_SIGNALING	0.9631597092399353	0.9631597092399353	0.18742236135463766	0.6278588486437917	595067	36
HALLMARK_HEME_METABOLISM	0.3758942094061289	0.45840757244649866	0.23543775987999382	1.0381262352419318	281696	185
HALLMARK_HYPOXIA	3.662914214549095e-5	2.034952341416164e-4	-0.3416476310682934	-1.6987364281687813	8	194
HALLMARK_IL2_STAT5_SIGNALING	0.005169794678296663	0.011749533359765144	-0.282787518511898	-1.408115300851554	1265	196
HALLMARK_IL6_JAK_STAT3_SIGNALING	1.8160014778494785e-4	6.984621068651841e-4	-0.4097136306473476	-1.8056080751235832	57	89
HALLMARK_INFLAMMATORY_RESPONSE	4.1026987552411974e-5	2.0513493776205986e-4	-0.3394963015435703	-1.6926164151821728	9	198
HALLMARK_INTERFERON_ALPHA_RESPONSE	3.1842468937671553e-6	2.9363177283706432e-5	-0.5000962905923901	-2.2292302472658148	0	95
HALLMARK_INTERFERON_GAMMA_RESPONSE	4.079151862744698e-6	2.9363177283706432e-5	-0.3751698250854933	-1.8667278923218347	0	195
HALLMARK_KRAS_SIGNALING_DN	1.3336729753843979e-6	2.22278829230733e-5	0.43123515858214984	1.9025504669220774	0	186
HALLMARK_KRAS_SIGNALING_UP	0.027486117510123913	0.049082352696649845	-0.2593430394038395	-1.286852827231888	6800	191
HALLMARK_MITOTIC_SPINDLE	0.19918906460968636	0.29488151412865826	-0.22120857626455126	-1.1006647969082806	48830	195
HALLMARK_MTORC1_SIGNALING	0.046977344375296055	0.08099542133671733	-0.24869125275414886	-1.2383359776054772	11503	196
HALLMARK_MYC_TARGETS_V1	1.322296564673525e-6	2.22278829230733e-5	0.5105812963335941	2.269132129866249	0	198
HALLMARK_MYC_TARGETS_V2	1.0516645684927482e-4	4.532813384770305e-4	0.5242883735251394	1.9287683300403	67	57
HALLMARK_MYOGENESIS	0.005146670084429421	0.011749533359765144	-0.2864098040813636	-1.417140660118518	1284	187
HALLMARK_NOTCH_SIGNALING	0.05292860378444587	0.08821433964074311	0.4428251688532717	1.4454973597547378	32365	32
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.3269498200656044e-6	2.22278829230733e-5	0.4526185037087246	2.005573927946502	0	193
