Protein IDs,Fasta headers,LFQ intensity 1,LFQ intensity 2,LFQ intensity 20,LFQ intensity 22,LFQ intensity 25,LFQ intensity 28,LFQ intensity 29,LFQ intensity 31,LFQ intensity 33,LFQ intensity 36,LFQ intensity 37,LFQ intensity 39,LFQ intensity 4,LFQ intensity 8,LFQ intensity 9
A0A096MJC6;Q8CIN9-2;Q8CIN9,tr|A0A096MJC6|A0A096MJC6_RAT E3 ubiquitin-protein ligase rififylin OS=Rattus norvegicus OX=10116 GN=Rffl PE=1 SV=1;sp|Q8CIN9-2|RFFL_RAT Isoform 2 of E3 ubiquitin-protein ligase rififylin OS=Rattus norvegicus OX=10116 GN=Rffl;sp|Q8CIN9|RFFL_RAT E3 ubiquitin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A096MJX5,tr|A0A096MJX5|A0A096MJX5_RAT Similar to Hypothetical protein MGC11690 OS=Rattus norvegicus OX=10116 GN=RGD1305178 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,12821,0,54596
Q5FVT1;A0A0G2K694;A0A096MJZ5;F1LR97;B2GV26,"tr|Q5FVT1|Q5FVT1_RAT RCG55460, isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Ralbp1 PE=1 SV=1;tr|A0A0G2K694|A0A0G2K694_RAT RalA-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Ralbp1 PE=1 SV=1;tr|A0A096MJZ5|A0A096MJZ5_RAT Rho-GAP domain-containing prot",0,0,0,0,50520,0,13588,0,0,0,0,0,0,0,0
A0A096MK73;P13668,tr|A0A096MK73|A0A096MK73_RAT Stathmin (Fragment) OS=Rattus norvegicus OX=10116 GN=Stmn1 PE=1 SV=1;sp|P13668|STMN1_RAT Stathmin OS=Rattus norvegicus OX=10116 GN=Stmn1 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1LST1;A0A096P6L8;P04937-4;P04937-2;P04937-3;P04937;Q9Z1G8,tr|F1LST1|F1LST1_RAT Fibronectin OS=Rattus norvegicus OX=10116 GN=Fn1 PE=1 SV=3;tr|A0A096P6L8|A0A096P6L8_RAT Fibronectin OS=Rattus norvegicus OX=10116 GN=Fn1 PE=1 SV=2;sp|P04937-4|FINC_RAT Isoform 4 of Fibronectin OS=Rattus norvegicus OX=10116 GN=Fn1;sp|P0,19971,5813.7,200300,109650,24427,0,102800,9945.2,14225,257590,96914,97447,15312,121500,328900
B0BMV1;A0A0G2JSU3;Q63945;Q6QI56;A0A0G2K5L9;D3ZC07;Q63945-2,tr|B0BMV1|B0BMV1_RAT Set protein OS=Rattus norvegicus OX=10116 GN=Set PE=2 SV=1;tr|A0A0G2JSU3|A0A0G2JSU3_RAT Protein SET OS=Rattus norvegicus OX=10116 GN=Set PE=1 SV=1;sp|Q63945|SET_RAT Protein SET OS=Rattus norvegicus OX=10116 GN=Set PE=2 SV=2;tr|Q6QI56|Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JSW3;CON__Q3SX09;CON__P02070;O88752,tr|A0A0G2JSW3|A0A0G2JSW3_RAT Globin a4 OS=Rattus norvegicus OX=10116 GN=Hbb PE=1 SV=1,272550,763100,461030,230590,164970,126400,92372,84132,294040,54190,178410,124760,1271200,460370,74992
A0A0G2JTW9,"tr|A0A0G2JTW9|A0A0G2JTW9_RAT Hemoglobin, beta adult s chain OS=Rattus norvegicus OX=10116 GN=Hbb-b1 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1K0FUA6;P11517,tr|A0A1K0FUA6|A0A1K0FUA6_RAT Globin a2 OS=Rattus norvegicus OX=10116 GN=LOC689064 PE=3 SV=1;sp|P11517|HBB2_RAT Hemoglobin subunit beta-2 OS=Rattus norvegicus OX=10116 PE=1 SV=2,0,24661,0,0,0,0,0,0,0,0,0,0,44063,9458.8,0
P02091,sp|P02091|HBB1_RAT Hemoglobin subunit beta-1 OS=Rattus norvegicus OX=10116 GN=Hbb PE=1 SV=3,0,0,4320.6,11641,0,0,0,0,0,0,0,0,28201,0,0
Q63011;Q6PDU6;Q62669;Q62670;Q63223,tr|Q63011|Q63011_RAT Zero beta-globin (Fragment) OS=Rattus norvegicus OX=10116 PE=3 SV=1;tr|Q6PDU6|Q6PDU6_RAT Beta-glo OS=Rattus norvegicus OX=10116 GN=Hbb-b1 PE=2 SV=1;tr|Q62669|Q62669_RAT Globin a1 OS=Rattus norvegicus OX=10116 GN=LOC103694855 PE=1 SV=1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
