pathway	pval	padj	ES	NES	nMoreExtreme	size
HALLMARK_ADIPOGENESIS	0.07317021854809724	0.09627660335275953	-0.2561352928309769	-1.228771218749356	41732	199
HALLMARK_ALLOGRAFT_REJECTION	1.7571419032658239e-6	6.077623406143262e-6	-0.5103433437267835	-2.4354747489814565	0	191
HALLMARK_ANDROGEN_RESPONSE	0.004577717781793638	0.007152684034052559	-0.3628938454536428	-1.566454710548144	2522	97
HALLMARK_ANGIOGENESIS	0.5399685145812567	0.5509882801849558	0.26187209571573467	0.9478415324573578	252444	36
HALLMARK_APICAL_JUNCTION	0.4514272570549667	0.4702367260989237	0.20331300661991342	0.9992423929660226	194296	194
HALLMARK_APICAL_SURFACE	0.3449783724749972	0.3833093027499969	0.28403676951745077	1.0647343013419295	160465	42
HALLMARK_APOPTOSIS	3.551899467037485e-6	1.0446763138345546e-5	-0.4104453950378819	-1.9060403537608066	1	156
HALLMARK_BILE_ACID_METABOLISM	0.0075370699416816974	0.011419802941941965	0.33247200815370115	1.4960072261682302	3367	107
HALLMARK_CHOLESTEROL_HOMEOSTASIS	3.30268563386794e-5	7.863537223495096e-5	-0.47975339061265354	-1.9742750514979601	17	74
HALLMARK_COAGULATION	0.0010847759596405871	0.002086107614693437	-0.36267025440200484	-1.630152417274031	603	125
HALLMARK_COMPLEMENT	1.7578832273329748e-6	6.077623406143262e-6	-0.4275539821838979	-2.0377660091830196	0	189
HALLMARK_DNA_REPAIR	0.0034511324642121314	0.005751887440353553	-0.3331481048748199	-1.5247516614950645	1932	141
HALLMARK_E2F_TARGETS	1.755630306392601e-6	6.077623406143262e-6	-0.6053073285590914	-2.894501656138526	0	194
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.1092893101217764e-5	5.2732232753044414e-5	-0.3651778831182514	-1.7415415315734417	11	190
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.08133867077924017	0.10313592480263006	-0.25536863087713535	-1.2202635836083802	46306	193
HALLMARK_ESTROGEN_RESPONSE_LATE	0.23536282925083923	0.2736777084312084	-0.22877225469134999	-1.0967860787515293	134193	198
HALLMARK_FATTY_ACID_METABOLISM	0.43020188536056836	0.4676107449571395	0.2120284498847463	1.0074574843412512	188202	152
HALLMARK_G2M_CHECKPOINT	1.7555101073494431e-6	6.077623406143262e-6	-0.6104800369374506	-2.920977757494057	0	195
HALLMARK_GLYCOLYSIS	1.755630306392601e-6	6.077623406143262e-6	-0.42605786900602266	-2.037353835421792	0	194
HALLMARK_HEDGEHOG_SIGNALING	0.015066799567075493	0.02152399938153642	0.4403042140073775	1.5936735061883465	7043	36
HALLMARK_HEME_METABOLISM	0.08578466327556487	0.10461544301898155	-0.25651500494046225	-1.2183025994294636	48721	184
HALLMARK_HYPOXIA	3.5140985634365073e-6	1.0446763138345546e-5	-0.3801046077422769	-1.8151198303057472	1	192
HALLMARK_IL2_STAT5_SIGNALING	1.7541705404599435e-6	6.077623406143262e-6	-0.3883119917185925	-1.8593377866420282	0	196
HALLMARK_IL6_JAK_STAT3_SIGNALING	1.8232870218429784e-6	6.077623406143262e-6	-0.6112383956849612	-2.5939213323693533	0	88
HALLMARK_INFLAMMATORY_RESPONSE	1.7555101073494431e-6	6.077623406143262e-6	-0.5089825050619707	-2.4353402016189953	0	195
HALLMARK_INTERFERON_ALPHA_RESPONSE	3.5614865208637695e-4	7.419763585132853e-4	-0.4078619250983902	-1.75408530823846	195	95
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.7555101073494431e-6	6.077623406143262e-6	-0.47979734262574036	-2.2956972892106826	0	195
HALLMARK_KRAS_SIGNALING_DN	0.0020913692928817267	0.0037345880230030834	0.3105608464745248	1.508869163477374	905	178
HALLMARK_KRAS_SIGNALING_UP	1.4057135226126591e-5	3.6992461121385766e-5	-0.3677836387892273	-1.7551473461349099	7	191
HALLMARK_MITOTIC_SPINDLE	1.7555101073494431e-6	6.077623406143262e-6	-0.4200497470047124	-2.0098216056284968	0	195
HALLMARK_MTORC1_SIGNALING	1.7541705404599435e-6	6.077623406143262e-6	-0.611571868903012	-2.9283635564948467	0	196
HALLMARK_MYC_TARGETS_V1	1.7538997961968436e-6	6.077623406143262e-6	-0.5324002977155055	-2.552447785442116	0	198
HALLMARK_MYC_TARGETS_V2	8.885022258831805e-5	0.00020193232406435921	-0.49878240262498963	-1.9526499921388096	47	57
HALLMARK_MYOGENESIS	0.01789178802120714	0.024849705585009915	0.27560730247190945	1.3459997755113138	7727	185
HALLMARK_NOTCH_SIGNALING	0.6212135739259941	0.6212135739259941	0.2557068668787382	0.9002290086128919	291560	32
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.001840821624735865	0.003408928934696046	-0.3167016275340564	-1.5133396048759413	1047	193
HALLMARK_P53_PATHWAY	4.640436482267908e-4	9.280872964535816e-4	-0.3345652234447055	-1.5955490696035042	263	190
HALLMARK_PANCREAS_BETA_CELLS	0.44327204789605534	0.4702367260989237	0.2948728640074061	1.0043373935112114	208789	28
HALLMARK_PEROXISOME	0.284496482029828	0.32329145685207733	-0.2505179725546727	-1.0887342508350253	157088	101
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.8131905989693825e-6	6.077623406143262e-6	-0.47492997044714275	-2.057047668768896	0	99
HALLMARK_PROTEIN_SECRETION	5.4679369291701674e-6	1.5188713692139354e-5	-0.47911360990938634	-2.0372900417187023	2	89
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0025809505351978295	0.004449914715858327	-0.4615884953397059	-1.7361027520131633	1384	47
HALLMARK_SPERMATOGENESIS	0.023111504296959632	0.03123176256345896	-0.31801529895452607	-1.4015833232312493	12800	110
HALLMARK_TGF_BETA_SIGNALING	0.004091969046593491	0.006599950075150792	-0.4341083628834088	-1.6742940071093813	2203	53
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.7532940011045753e-6	6.077623406143262e-6	-0.5368583946302518	-2.5754988177320643	0	199
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.8047707309501937e-6	6.077623406143262e-6	-0.5013927382061509	-2.2128819507979904	0	111
HALLMARK_UV_RESPONSE_DN	0.011819326337031465	0.017381362260340393	0.30223919392180465	1.418934795222159	5200	140
HALLMARK_UV_RESPONSE_UP	2.6303208458258764e-4	5.718088795273644e-4	-0.3606672116904921	-1.6732573951317935	147	155
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.09106842535971803	0.10841479209490242	0.35754554403258754	1.3253513433929063	42398	40
HALLMARK_XENOBIOTIC_METABOLISM	0.08250873984210405	0.10313592480263006	0.24774539601489587	1.2099289257910681	35637	185
