ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	logFC	AveExpr	t	P.Value	padj	B
ENSRNOG00000007387	Per1	ENSG00000179094	PER1	2.8203155273262372	5.1087646968508285	10.721072236353395	1.3593492455562586e-12	2.9039777932818352e-8	18.563772281658316
ENSRNOG00000019383	Tef	ENSG00000167074	TEF	2.6962023165559863	6.0308802146655145	9.630884707497039	2.2894344342662462e-11	2.445459390961491e-7	15.91979126853068
ENSRNOG00000006989	Vamp2	ENSG00000220205	VAMP2	1.4220643891565201	6.108952496990334	9.333465145824883	5.081631138078004e-11	2.82745255476865e-7	15.13702426381626
ENSRNOG00000006989	Vamp2	ENSG00000263620	AC129492.3	1.4220643891565201	6.108952496990334	9.333465145824883	5.081631138078004e-11	2.82745255476865e-7	15.13702426381626
ENSRNOG00000005457	Lamp5	ENSG00000125869	LAMP5	5.025787046034338	-2.9563965783268005	9.318300078472223	5.2941114165026445e-11	2.82745255476865e-7	13.857290841921827
ENSRNOG00000011969	Dock9	ENSG00000088387	DOCK9	1.2591487502510894	6.660271597607389	9.082357274775296	1.0051650993179765e-10	3.8384331317064456e-7	14.457212420919728
ENSRNOG00000046912	Nr1d2	ENSG00000174738	NR1D2	2.1136652821526853	6.42437598127614	9.056751471920604	1.0780601409089863e-10	3.8384331317064456e-7	14.393967909389884
ENSRNOG00000021027	Dbp	ENSG00000105516	DBP	3.557819847423108	6.076937158198013	8.91350985724685	1.5973761204393947e-10	4.265593257618349e-7	14.021460189616112
ENSRNOG00000007478	Cry2	ENSG00000121671	CRY2	2.1024352576888603	5.449923655300173	8.920398032306144	1.5673626388363764e-10	4.265593257618349e-7	14.037572845924208
ENSRNOG00000016257	Cotl1	ENSG00000103187	COTL1	-1.6856085448620206	7.147310367531294	-8.865148748046664	1.825227028056911e-10	4.332480555597754e-7	13.858731138534134
ENSRNOG00000028651	RGD1566386			1.915258826881665	2.3753070264740086	8.624567203612825	3.558816060593325e-10	7.602698750245521e-7	12.819724597367163
ENSRNOG00000014096	Nr3c1	ENSG00000113580	NR3C1	1.4538700387010293	5.68555416327198	8.355434631047768	7.575529580770413e-10	1.3486336536166528e-6	12.490728267577193
ENSRNOG00000030840	Cadm2	ENSG00000175161	CADM2	3.731452406951624	-3.644901962611982	8.381431006913974	7.03966468250991e-10	1.3486336536166528e-6	11.510726619162927
ENSRNOG00000004310	Caskin2	ENSG00000177303	CASKIN2	1.0548896440013635	5.697681620511054	8.290569785167314	9.100511691109468e-10	1.4954940865936274e-6	12.303798343051426
