ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000009313	Lrpap1	ENSG00000163956	LRPAP1	8277.480840303104	4.898916482758989	0.2933608163587539	16.699287053960386	1.3264019483622548e-62	2.392431194260999e-58
ENSRNOG00000032699	Ttyh1	ENSG00000167614	TTYH1	214.4667473207385	5.951330065813537	0.4085267730281687	14.567784680792958	4.5025660755824206e-48	4.060639215264006e-44
ENSRNOG00000023317	Colgalt1	ENSG00000130309	COLGALT1	5209.354084338588	3.594236581420785	0.2522768841385095	14.247189526280234	4.6668824623241225e-46	2.8058852990980064e-42
ENSRNOG00000017147	Trim6	ENSG00000121236	TRIM6	800.568941586578	4.882723977249861	0.3513708901407358	13.896210853705515	6.678446119927873e-44	3.0114783166284758e-40
ENSRNOG00000050841	Ache	ENSG00000087085	ACHE	535.1636335512852	5.410378634627984	0.4125442299212843	13.114663209955241	2.7138514491834542e-39	9.789947717784393e-36
ENSRNOG00000024040	Mb21d2	ENSG00000180611	MB21D2	759.709749827073	3.501282457369308	0.2705941648940369	12.939238577965602	2.702950760939006e-38	8.125520479176142e-35
ENSRNOG00000008090	Txndc12	ENSG00000117862	TXNDC12	2439.7287735157956	2.753034312545296	0.21777653396960958	12.641556288748163	1.2456373331352086e-36	3.2096515111085366e-33
ENSRNOG00000005408	Natd1	ENSG00000274180	NATD1	1374.0614245864624	2.651294352975671	0.21162673543717003	12.528163549367868	5.2361108245212855e-36	1.1805466367736303e-32
ENSRNOG00000006359	Galk1	ENSG00000108479	GALK1	3465.044445885138	4.361411923502168	0.3545474432103632	12.301349246832439	8.907367187768554e-35	1.6565585050955277e-31
ENSRNOG00000030158	LOC500350	ENSG00000167863	ATP5PD	436.4032257717261	4.642401906642545	0.3774655151998668	12.2988769031905	9.184224123166423e-35	1.6565585050955277e-31
ENSRNOG00000051006	Ufsp1	ENSG00000176125	UFSP1	402.5531530941062	4.082817071893953	0.3465832473358827	11.780191637298588	4.938067593367513e-32	8.097084107415439e-29
ENSRNOG00000051458	Hic2	ENSG00000169635	HIC2	394.0183694409175	3.5187876426551807	0.3005435786765659	11.708077937149914	1.1587669268438202e-31	1.741723254956832e-28
ENSRNOG00000018532	Pcgf5	ENSG00000180628	PCGF5	942.9269608700887	3.946750524098091	0.34166000797426727	11.551690077801988	7.238286441161117e-31	1.0042844041478698e-27
ENSRNOG00000002680	Lamc1	ENSG00000135862	LAMC1	17992.37552164274	5.528587532019391	0.48269081295155447	11.453682945016546	2.253627109879419e-30	2.9034765843496486e-27
ENSRNOG00000014066	Jade1	ENSG00000077684	JADE1	2100.4706826180764	2.8227240972848864	0.2566564869703074	10.998062548917563	3.9043023975081403e-28	4.694793489590288e-25
ENSRNOG00000020165	Ahsp	ENSG00000169877	AHSP	92.54392203165362	6.465050941319113	0.6113123590410695	10.575691535928483	3.863169069858407e-26	4.354998782064756e-23
ENSRNOG00000004874	Flrt3	ENSG00000125848	FLRT3	1346.873091034638	6.1019117341330125	0.5799549334696429	10.521354991546788	6.887585479388259e-26	7.307728193630942e-23
ENSRNOG00000060568	Ptpn21	ENSG00000070778	PTPN21	1475.6044710192232	2.65333940238052	0.25348238237975373	10.467549568811567	1.2175392795955558e-25	1.20617509462981e-22
ENSRNOG00000020024	Taf7	ENSG00000178913	TAF7	902.6318638526136	2.4979130943159027	0.2387260736462809	10.463511824087748	1.2705730885383595e-25	1.20617509462981e-22
ENSRNOG00000037600	Sim1	ENSG00000112246	SIM1	101.52535416427588	3.257618739552107	0.31500192211326156	10.341583688434774	4.569232115335938e-25	4.1207619832157155e-22
ENSRNOG00000012878	Atp7b	ENSG00000123191	ATP7B	517.7772496794755	5.930414868505813	0.5785371413219614	10.250707249243797	1.1748074378417183e-24	1.0090477026833844e-21
ENSRNOG00000000341	Nid2	ENSG00000087303	NID2	3058.4140502170435	4.215272807352617	0.4128614108176126	10.20989779355953	1.7905334376907604e-24	1.4679932552558294e-21
