ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000007387	Per1	ENSG00000179094	PER1	1779.6712437458473	2.7081677781255267	0.18864612621274893	14.355809114634793	9.797535809255015e-47	1.807743332165643e-42
ENSRNOG00000002578	Serpinb3a	ENSG00000057149	SERPINB3	862.4829289038495	-21.988268689246112	1.578450379114269	-13.930288199230311	4.1467883105655957e-44	3.825619555912291e-40
ENSRNOG00000002578	Serpinb3a	ENSG00000206073	SERPINB4	862.4829289038495	-21.988268689246112	1.578450379114269	-13.930288199230311	4.1467883105655957e-44	3.825619555912291e-40
ENSRNOG00000037430	Chfr	ENSG00000072609	CHFR	1848.779393805191	-1.3703971994687814	0.10822246132120399	-12.662779821662399	9.507220575883133e-37	5.8472575615206556e-33
ENSRNOG00000002843	Cxcl6	ENSG00000124875	CXCL6	14943.654674733014	-7.764255545950339	0.6207334427414029	-12.508195968402047	6.733614897227534e-36	3.0532528142598344e-32
ENSRNOG00000028651	RGD1566386			231.18017065745144	2.112053196408997	0.1690749050738808	12.491819501457602	8.273949418079872e-36	3.0532528142598344e-32
ENSRNOG00000019383	Tef	ENSG00000167074	TEF	3457.1549069311327	2.739242491715115	0.23229860601974478	11.791902408068202	4.297229821863529e-32	1.3214697907200663e-28
ENSRNOG00000021027	Dbp	ENSG00000105516	DBP	4821.56309500159	3.5332318470252857	0.31434090900348965	11.24012734526406	2.590084526141406e-29	6.827092798833583e-26
ENSRNOG00000046912	Nr1d2	ENSG00000174738	NR1D2	4033.6564095011486	2.2278329382789552	0.21084206533535005	10.566358922426254	4.267426077815518e-26	9.842284820221765e-23
ENSRNOG00000011483	S100a9	ENSG00000163220	S100A9	1529.1416012115092	-6.02116242541848	0.5879355236426255	-10.241195136693973	1.2962511545013997e-24	2.6574588946339253e-21
ENSRNOG00000016257	Cotl1	ENSG00000103187	COTL1	6620.367093122604	-2.06531604424051	0.20339892973563573	-10.154016281820505	3.1800086972462847e-24	5.86743404728912e-21
ENSRNOG00000028062	Arpc5	ENSG00000162704	ARPC5	8929.68333917658	-1.1373660396108527	0.11268286337321731	-10.093513827775023	5.9018245544114796e-24	9.899505895767837e-21
ENSRNOG00000019433	Rab3a	ENSG00000105649	RAB3A	261.100307136105	1.7928147100972465	0.17867522843434014	10.03392986149769	1.08125464116915e-23	1.662519115350999e-20
ENSRNOG00000018413	Per3	ENSG00000049246	PER3	1795.060081221316	2.7165026644455224	0.2717738194276495	9.995453830565525	1.59554692241076e-23	2.2645720204154565e-20
ENSRNOG00000036677	Slc16a3	ENSG00000141526	SLC16A3	3411.7952725752184	-4.837067159036712	0.49226006444013265	-9.826243297916326	8.679631001457746e-23	1.1439133686278348e-19
ENSRNOG00000019028	Znrf1	ENSG00000186187	ZNRF1	934.9954882886968	-0.9982820875679087	0.10168314407797441	-9.817576911296026	9.458978802748775e-23	1.1635174525967844e-19
ENSRNOG00000000485	Bak1	ENSG00000030110	BAK1	2905.497361106727	-1.4080726324037258	0.14471315342588953	-9.730094321556109	2.24384800982489e-22	2.5875774768299403e-19
ENSRNOG00000012084	Xpnpep1	ENSG00000108039	XPNPEP1	5235.288624426846	-1.1252240705715832	0.1174845007104727	-9.57763844393884	9.928916877655707e-22	1.077637913586032e-18
ENSRNOG00000012228	Skap2	ENSG00000005020	SKAP2	1764.6176400479235	-0.8712862753150948	0.09147771710656698	-9.524573883933831	1.6572039168876996e-21	1.6987260816941639e-18
ENSRNOG00000046699	Slpi	ENSG00000124107	SLPI	5030.967823332561	-5.827222163368022	0.6255500342223214	-9.315357436775423	1.2154260121121376e-20	1.1721582995144855e-17
ENSRNOG00000027730	Nxpe1	ENSG00000095110	NXPE1	170.51281373362758	3.115335363489025	0.33459924550582154	9.310646707464924	1.270563437769753e-20	1.1721582995144855e-17
ENSRNOG00000043416	Bcl3	ENSG00000069399	BCL3	1398.383108959429	-2.3140334632210595	0.2543688467204218	-9.097157505944217	9.272682699511041e-20	7.77683038584901e-17
ENSRNOG00000031485	Dpp3	ENSG00000254986	DPP3	4807.931532685172	-1.566374476490101	0.17216168781361127	-9.09827555934464	9.177739306609264e-20	7.77683038584901e-17
ENSRNOG00000015939	Ccdc25	ENSG00000147419	CCDC25	1216.5671653670622	-0.8298440175344104	0.09199651968943671	-9.020384905166095	1.8742959045409422e-19	1.5035927710732577e-16
ENSRNOG00000038868	Iqcb1	ENSG00000173226	IQCB1	458.73849820149934	1.2163877293602927	0.13495708898169576	9.013144389364173	2.0023139088599474e-19	1.539362247182287e-16
