ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	logFC	AveExpr	t	P.Value	padj	B
ENSRNOG00000007387	Per1	ENSG00000179094	PER1	2.930128410268684	5.1087646968508285	11.550220461070603	1.7588444522767998e-13	3.757419403398927e-9	20.606371703220873
ENSRNOG00000046912	Nr1d2	ENSG00000174738	NR1D2	2.532273103429554	6.42437598127614	10.94660891467385	7.726537421064011e-13	8.253100946309523e-9	19.2482881120169
ENSRNOG00000019383	Tef	ENSG00000167074	TEF	2.9017557911336036	6.0308802146655145	10.606349715792053	1.8164504145354867e-12	8.836282653599576e-9	18.406418225129308
ENSRNOG00000004310	Caskin2	ENSG00000177303	CASKIN2	1.3155853463012015	5.697681620511054	10.555213287318482	2.0681277567756342e-12	8.836282653599576e-9	18.279904796149737
ENSRNOG00000028651	RGD1566386			2.3731951858173606	2.3753070264740086	10.558102477994314	2.0530024479236636e-12	8.836282653599576e-9	17.552596670132814
ENSRNOG00000030840	Cadm2	ENSG00000175161	CADM2	4.32543899610096	-3.644901962611982	10.348713303735629	3.504665804360955e-12	1.2478362596427181e-8	16.39409675170603
ENSRNOG00000037430	Chfr	ENSG00000072609	CHFR	-1.09523707387316	5.5894869404018355	-10.156754612578295	5.751067241385359e-12	1.755143563967363e-8	17.267885404547183
ENSRNOG00000019500	Cyp1a1	ENSG00000140465	CYP1A1	8.094542049093416	-1.476548915263047	9.987383654952557	8.938703986375936e-12	2.386969165761864e-8	16.26073447220242
ENSRNOG00000049676	St6galnac5	ENSG00000117069	ST6GALNAC5	4.6616452152179	-3.327407585332825	9.927422815111992	1.045849290779059e-11	2.482497599879226e-8	15.538978088359258
ENSRNOG00000031824	Slc44a2	ENSG00000129353	SLC44A2	1.1720183166940483	6.572216279369361	9.733761078743115	1.7422826171901805e-11	3.648738989951471e-8	16.158517028525058
ENSRNOG00000021027	Dbp	ENSG00000105516	DBP	3.7577867737470942	6.076937158198013	9.614556615890438	2.391159755620493e-11	3.648738989951471e-8	15.878521868778808
ENSRNOG00000019433	Rab3a	ENSG00000105649	RAB3A	2.139904533754309	2.654287764242854	9.664103259027902	2.0958674815018985e-11	3.648738989951471e-8	15.58257558669733
ENSRNOG00000001817	Tm7sf3	ENSG00000064115	TM7SF3	1.240326312989743	5.448394841988705	9.615131322218756	2.3875022847271206e-11	3.648738989951471e-8	15.873085714703043
ENSRNOG00000011573	Csad	ENSG00000139631	CSAD	1.5435249132807227	5.128705157736694	9.694097029526791	1.9354301810262757e-11	3.648738989951471e-8	16.085662694749914
ENSRNOG00000019276	Dele1	ENSG00000081791	DELE1	0.913065691997252	5.761207935496627	9.455367930295846	3.6599194062679974e-11	5.2124572184068824e-8	15.439371055017045
ENSRNOG00000016257	Cotl1	ENSG00000103187	COTL1	-1.7247538584280493	7.147310367531294	-9.42885082103655	3.9301089759385185e-11	5.247432378310911e-8	15.341035765076807
ENSRNOG00000006989	Vamp2	ENSG00000220205	VAMP2	1.3410608402993427	6.108952496990334	9.30079024809202	5.5507251973861785e-11	6.58980185297469e-8	15.021098948497364
ENSRNOG00000006989	Vamp2	ENSG00000263620	AC129492.3	1.3410608402993427	6.108952496990334	9.30079024809202	5.5507251973861785e-11	6.58980185297469e-8	15.021098948497364
ENSRNOG00000019302	Stx4	ENSG00000103496	STX4	0.8550705115714976	6.16004291403123	9.300677099119053	5.552423973858748e-11	6.58980185297469e-8	15.015262335312347
ENSRNOG00000038868	Iqcb1	ENSG00000173226	IQCB1	1.4850540133398842	3.6071527356724555	9.192442811536738	7.446178148632246e-11	8.068803278489502e-8	14.68535031026802
ENSRNOG00000060597	Syf2	ENSG00000117614	SYF2	0.982951815015193	6.582554876432686	9.120569402770801	9.055875521341188e-11	8.068803278489502e-8	14.520555025628202
ENSRNOG00000007117	Cluap1	ENSG00000103351	CLUAP1	0.9811356489739325	5.004872350462333	9.180070620508573	7.700946296469509e-11	8.068803278489502e-8	14.729482212714782
ENSRNOG00000022796	Fgfbp3	ENSG00000174721	FGFBP3	1.7796160120366495	2.1057748215949084	9.120208369879842	9.0647979536464e-11	8.068803278489502e-8	14.09411273186203
ENSRNOG00000056135	Tsc22d3	ENSG00000157514	TSC22D3	2.2079664164197013	5.798616676112107	9.143110879682622	8.51612330164361e-11	8.068803278489502e-8	14.619886315504441
ENSRNOG00000005457	Lamp5	ENSG00000125869	LAMP5	4.8493902639319515	-2.9563965783268005	9.134578826459213	8.716463633240779e-11	8.068803278489502e-8	13.733173823352544
ENSRNOG00000000054	Abhd8	ENSG00000127220	ABHD8	1.762694622637019	4.537641842185441	9.074181909211386	1.0278772664939123e-10	8.783416817643779e-8	14.446071677806954
ENSRNOG00000020607	Bckdha	ENSG00000255730	AC011462.1	1.9465686443699655	6.335152728731101	8.943559277188317	1.470583756923107e-10	1.2083107999672437e-7	14.05878059232257
ENSRNOG00000020607	Bckdha	ENSG00000248098	BCKDHA	1.9465686443699655	6.335152728731101	8.943559277188317	1.470583756923107e-10	1.2083107999672437e-7	14.05878059232257
ENSRNOG00000014002	St7l	ENSG00000007341	ST7L	1.1805083629108553	4.199125392283782	8.748758159650368	2.5189256497497235e-10	1.993029950207531e-7	13.573480232788599
