ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	logFC	AveExpr	t	P.Value	padj	B
ENSRNOG00000046558	LOC103691965			-9.099126932151615	-5.56299881883063	-26.10686107365846	1.659649567478773e-24	1.1818364570016342e-20	42.1721167563581
ENSRNOG00000013796	Svs4			-9.099126932151615	-5.56299881883063	-26.10686107365846	1.659649567478773e-24	1.1818364570016342e-20	42.1721167563581
ENSRNOG00000058182	LOC103694889			-9.099126932151615	-5.56299881883063	-26.10686107365846	1.659649567478773e-24	1.1818364570016342e-20	42.1721167563581
ENSRNOG00000012197	Bpifb2	ENSG00000078898	BPIFB2	-5.077041377981351	-5.828742193194576	-19.85821735157747	1.2983923581577734e-20	6.934388986831128e-17	30.798193643518616
ENSRNOG00000000410	Nepn			-10.639418199781934	-4.938367964676145	-17.80115646867993	4.238349775485162e-19	1.8108773250737905e-15	32.86510169025547
ENSRNOG00000060893	Svs3a	ENSG00000124233	SEMG1	-4.365646048182751	-5.867824214559775	-17.436352443983292	8.136504067427919e-19	2.172751704905783e-15	27.817062696665378
ENSRNOG00000060893	Svs3a	ENSG00000124157	SEMG2	-4.365646048182751	-5.867824214559775	-17.436352443983292	8.136504067427919e-19	2.172751704905783e-15	27.817062696665378
ENSRNOG00000059369	LOC103691966	ENSG00000124233	SEMG1	-4.365646048182751	-5.867824214559775	-17.436352443983292	8.136504067427919e-19	2.172751704905783e-15	27.817062696665378
ENSRNOG00000059369	LOC103691966	ENSG00000124157	SEMG2	-4.365646048182751	-5.867824214559775	-17.436352443983292	8.136504067427919e-19	2.172751704905783e-15	27.817062696665378
ENSRNOG00000048418	Svs3a	ENSG00000124233	SEMG1	-4.365646048182751	-5.867824214559775	-17.436352443983292	8.136504067427919e-19	2.172751704905783e-15	27.817062696665378
ENSRNOG00000048418	Svs3a	ENSG00000124157	SEMG2	-4.365646048182751	-5.867824214559775	-17.436352443983292	8.136504067427919e-19	2.172751704905783e-15	27.817062696665378
ENSRNOG00000027821	Lcn9	ENSG00000148386	LCN9	-8.588638877602758	-5.372989132890925	-15.229773150804462	5.378359653000693e-17	1.2766433029672646e-13	27.630134661306663
ENSRNOG00000046583	Olr1365	ENSG00000168124	OR1F1	-3.3163076342133007	-5.926212059308259	-14.762952347297803	1.3841300302106545e-16	2.6881063486718373e-13	24.925995164148407
ENSRNOG00000048615	Olr1365	ENSG00000168124	OR1F1	-3.3163076342133007	-5.926212059308259	-14.762952347297803	1.3841300302106545e-16	2.6881063486718373e-13	24.925995164148407
ENSRNOG00000036782	Svs3b	ENSG00000124233	SEMG1	-4.935326947759262	-5.83718110292202	-14.195238092832055	4.502156722209337e-16	8.014964504713172e-13	23.54033968296142
ENSRNOG00000036782	Svs3b	ENSG00000124157	SEMG2	-4.935326947759262	-5.83718110292202	-14.195238092832055	4.502156722209337e-16	8.014964504713172e-13	23.54033968296142
ENSRNOG00000050039	AABR07070858.1			-11.822199256055884	-5.088608015679693	-14.046756083072264	6.163342010421233e-16	1.012826733604837e-12	26.169133375399205
ENSRNOG00000046276	Myh3	ENSG00000109063	MYH3	-11.55336703071762	-4.051180530174308	-13.744092114755352	1.1776888453001813e-15	1.7970690572962694e-12	25.513148145295524
ENSRNOG00000032699	Ttyh1	ENSG00000167614	TTYH1	-6.510252449187999	1.1307847199537857	-13.5794941377612	1.68184172916628e-15	2.395278990678616e-12	24.959811027959816
ENSRNOG00000004839	B4galnt1	ENSG00000135454	B4GALNT1	-5.814270105868799	2.4658387219386277	-13.519495038667749	1.9165459772524664e-15	2.408421865414379e-12	25.102102294708484
ENSRNOG00000059513	LOC102547412			-12.567587046323334	-4.500209933505497	-13.528675064322256	1.878570615435687e-15	2.408421865414379e-12	25.112810856988975
ENSRNOG00000050841	Ache	ENSG00000087085	ACHE	-5.434159876759816	2.7744086221704447	-13.243129344958025	3.516421374018004e-15	4.173406100730368e-12	24.511885295307508
ENSRNOG00000047279	Pga5			-13.982293247574681	-4.105255152567129	-13.193698506998384	3.9231896435043645e-15	4.411110544957039e-12	24.381089142058237
ENSRNOG00000032967	Tuba3b			-11.631369429029233	-4.444371893289089	-13.024423295158881	5.719393307869908e-15	6.109169961801242e-12	23.984909000922983
ENSRNOG00000013123	Scube2	ENSG00000175356	SCUBE2	-10.935798759693434	-1.1509236154938078	-12.934710585208544	6.9934655036487125e-15	7.114352550211784e-12	23.732991273440373
ENSRNOG00000023256	Nxf7	ENSG00000269437	NXF2B	-12.174753799643687	-4.322778489782398	-12.911760095634987	7.36378985217247e-15	7.150574664180021e-12	23.774060943406933
ENSRNOG00000023256	Nxf7	ENSG00000269405	NXF2	-12.174753799643687	-4.322778489782398	-12.911760095634987	7.36378985217247e-15	7.150574664180021e-12	23.774060943406933
ENSRNOG00000023256	Nxf7	ENSG00000126952	NXF5	-12.174753799643687	-4.322778489782398	-12.911760095634987	7.36378985217247e-15	7.150574664180021e-12	23.774060943406933
ENSRNOG00000020955	Myl3	ENSG00000160808	MYL3	-11.909044503120153	-3.5957685375021566	-12.801777761750024	9.437497314970163e-15	8.765793701726417e-12	23.50372227075946
ENSRNOG00000031707	Tuba3a	ENSG00000152086	TUBA3E	-12.03343801395242	-4.157287410946121	-12.694788891761497	1.203004257483713e-14	9.884530751009447e-12	23.301856904334855
ENSRNOG00000028299	Triml2	ENSG00000179046	TRIML2	-11.324515871672716	-4.735363195769196	-12.716441806616087	1.1452142612961627e-14	9.884530751009447e-12	23.329452103715102
ENSRNOG00000029465	Slc26a10			-10.595727188886615	0.2794281312902227	-12.698206792215535	1.193687619713121e-14	9.884530751009447e-12	23.032325310371192
ENSRNOG00000054879	Zic2	ENSG00000043355	ZIC2	-11.718489923753589	-4.7249470427705775	-12.531638111024872	1.746367224225199e-14	1.3817645559675157e-11	22.935099025297106
ENSRNOG00000038091	Sohlh2	ENSG00000250709	CCDC169-SOHLH2	-12.947492911135207	-4.4986975421191575	-12.50408104349863	1.860419955101341e-14	1.419433982172498e-11	22.88380672915786
