pathway	pval	padj	ES	NES	nMoreExtreme	size
HALLMARK_ADIPOGENESIS	0.12688729370706245	0.20465692533397167	-0.2745019663038828	-1.186915216018767	100419	199
HALLMARK_ALLOGRAFT_REJECTION	1.2728395140298735e-6	1.1731041932374766e-5	-0.576806590326184	-2.479870881735989	0	189
HALLMARK_ANDROGEN_RESPONSE	0.20167591313192876	0.26536304359464313	-0.2942918019335769	-1.1583162157348212	144934	97
HALLMARK_ANGIOGENESIS	0.132977498870254	0.2074092487435039	0.3525520889865146	1.2637857306496223	46787	36
HALLMARK_APICAL_JUNCTION	0.18295227530606908	0.2472328044676609	-0.2656369374657653	-1.1447014762914272	144146	193
HALLMARK_APICAL_SURFACE	0.37105397690964087	0.45250484988980594	-0.31184197625290855	-1.0581519908798145	243872	42
HALLMARK_APOPTOSIS	3.9214456017066135e-6	2.1785808898370075e-5	-0.4431713508006331	-1.862373905834251	2	156
HALLMARK_BILE_ACID_METABOLISM	0.05808652585418526	0.12101359552955263	-0.33134216096072194	-1.3197088701332194	42174	105
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.10416927095326758	0.1796021912987372	0.29771142458289956	1.243770770497869	31665	74
HALLMARK_COAGULATION	0.13689010417071257	0.2074092487435039	0.2551528694199385	1.1672761053610516	35243	125
HALLMARK_COMPLEMENT	3.563950639283646e-5	1.4849794330348525e-4	-0.40170715907632104	-1.7270639820791833	27	189
HALLMARK_DNA_REPAIR	0.9996842651270833	0.9996842651270833	-0.1397181045533229	-0.5790895130243928	753558	140
HALLMARK_E2F_TARGETS	8.503120172707819e-5	3.2704308356568536e-4	0.33987903124144564	1.6552234598191409	17	194
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.03387270261422626	0.07698341503233241	0.26114004239764366	1.2682115281840174	7242	190
HALLMARK_ESTROGEN_RESPONSE_EARLY	5.080526342529086e-6	2.5402631712645432e-5	-0.41318864786077303	-1.7794864939794315	3	192
HALLMARK_ESTROGEN_RESPONSE_LATE	0.00435791599496891	0.013618487484277842	-0.338864730220439	-1.4635851032713918	3443	197
HALLMARK_FATTY_ACID_METABOLISM	0.23653576446787883	0.30325098008702417	-0.2669727016863725	-1.1181546944422853	180292	152
HALLMARK_G2M_CHECKPOINT	0.006349191296060088	0.018674092047235552	0.28592965708731044	1.3932116923719888	1338	195
HALLMARK_GLYCOLYSIS	0.6634289592358384	0.7714290223672541	-0.21308017588279732	-0.9186910527727714	522990	194
HALLMARK_HEDGEHOG_SIGNALING	0.4681496892132705	0.5573210585872268	0.27558140937344566	0.9878706258688331	164717	36
HALLMARK_HEME_METABOLISM	0.8586261868509634	0.8959569484427298	-0.19345667972643343	-0.8287196026114582	671631	183
