ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000009313	Lrpap1	ENSG00000163956	LRPAP1	8277.480840303104	-4.840123826511102	0.296689332206056	-16.313777750355886	7.876701302076936e-60	1.4207206138556171e-55
ENSRNOG00000032699	Ttyh1	ENSG00000167614	TTYH1	214.4667473207385	-6.381140406209934	0.4167710309426262	-15.3109019880232	6.466095137784523e-53	5.831447900010972e-49
ENSRNOG00000017147	Trim6	ENSG00000121236	TRIM6	800.568941586578	-5.204332016013489	0.35582338152531323	-14.626166480977174	1.9126445490252468e-48	1.149945657692279e-44
ENSRNOG00000023317	Colgalt1	ENSG00000130309	COLGALT1	5209.354084338588	-3.6990959702596125	0.2551588007364459	-14.497230585749682	1.2613723633615801e-47	5.687843329488205e-44
ENSRNOG00000008090	Txndc12	ENSG00000117862	TXNDC12	2439.7287735157956	-2.9297006699468406	0.22031812489694894	-13.297592612124726	2.3904156154022813e-40	8.62318529100219e-37
ENSRNOG00000050841	Ache	ENSG00000087085	ACHE	535.1636335512852	-5.276906796114528	0.4172796362135332	-12.645972480224732	1.1775841264782175e-36	3.53733603842817e-33
ENSRNOG00000006359	Galk1	ENSG00000108479	GALK1	3465.044445885138	-4.530655146198895	0.35861064716071467	-12.633911408013606	1.3728087968618501e-36	3.53733603842817e-33
ENSRNOG00000030158	LOC500350	ENSG00000167863	ATP5PD	436.4032257717261	-4.789163893517549	0.38218256096628334	-12.531089543722157	5.046458729279264e-36	1.1377872012501259e-32
ENSRNOG00000051458	Hic2	ENSG00000169635	HIC2	394.0183694409175	-3.751280155737654	0.3045003924266453	-12.3194591830989	7.116996294225329e-35	1.4263251350993585e-31
ENSRNOG00000018532	Pcgf5	ENSG00000180628	PCGF5	942.9269608700887	-4.2534478298288025	0.34577002928097916	-12.301377995871272	8.904197089804893e-35	1.6060500290881086e-31
ENSRNOG00000024040	Mb21d2	ENSG00000180611	MB21D2	759.709749827073	-3.2996466330065557	0.273633844702971	-12.0586202945338	1.7468471778832425e-33	2.8643529588618222e-30
ENSRNOG00000002680	Lamc1	ENSG00000135862	LAMC1	17992.37552164274	-5.813007317035811	0.4881638060689967	-11.907903135723677	1.0765039504482987e-32	1.6180751461863304e-29
ENSRNOG00000005408	Natd1	ENSG00000274180	NATD1	1374.0614245864624	-2.5468573480955885	0.21404345136342118	-11.898786586894067	1.2008042799916108e-32	1.6660697537083605e-29
ENSRNOG00000029047	Cubn	ENSG00000107611	CUBN	3274.870388425361	-10.7781376295545	0.9159226629526068	-11.76751931741665	5.738727270652714e-32	7.393530270054501e-29
ENSRNOG00000017237	Lama1	ENSG00000101680	LAMA1	17181.07392172734	-10.773558023127727	0.9204655967438853	-11.704465719564979	1.2091846267411017e-31	1.4540042075019502e-28
ENSRNOG00000060568	Ptpn21	ENSG00000070778	PTPN21	1475.6044710192232	-2.8927398040666383	0.2564829512576727	-11.278487672892068	1.6760243653606284e-29	1.8894032173756034e-26
ENSRNOG00000000341	Nid2	ENSG00000087303	NID2	3058.4140502170435	-4.6971206481924375	0.4176533642822222	-11.246457109868837	2.410824270893906e-29	2.557884551418434e-26
ENSRNOG00000000394	Srgn	ENSG00000122862	SRGN	6877.3152702943835	-5.891482118147758	0.5356656048823007	-10.99843272453953	3.888310396428266e-28	3.8536739250481067e-25
ENSRNOG00000037600	Sim1	ENSG00000112246	SIM1	101.52535416427588	-3.525470727196203	0.32065626781274525	-10.994547997592813	4.059422552304376e-28	3.8536739250481067e-25
