ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	logFC	AveExpr	t	P.Value	padj	B
ENSRNOG00000046558	LOC103691965			-9.114946140423273	-5.56299881883063	-28.28565758787481	1.14107948641363e-25	8.125627022751458e-22	44.57126786573035
ENSRNOG00000013796	Svs4			-9.114946140423273	-5.56299881883063	-28.28565758787481	1.14107948641363e-25	8.125627022751458e-22	44.57126786573035
ENSRNOG00000058182	LOC103694889			-9.114946140423273	-5.56299881883063	-28.28565758787481	1.14107948641363e-25	8.125627022751458e-22	44.57126786573035
ENSRNOG00000012197	Bpifb2	ENSG00000078898	BPIFB2	-5.092860586253009	-5.828742193194576	-20.442568387717923	5.096860037582439e-21	2.722105524571841e-17	31.337960804720844
ENSRNOG00000000410	Nepn			-10.470745253887593	-4.938367964676145	-19.852218259554963	1.3110739004725435e-20	5.60169434715899e-17	36.288162138723926
ENSRNOG00000060893	Svs3a	ENSG00000124233	SEMG1	-4.381465256454408	-5.867824214559775	-17.929164134956228	3.3800047896561325e-19	9.025880290177994e-16	28.346129668339405
ENSRNOG00000060893	Svs3a	ENSG00000124157	SEMG2	-4.381465256454408	-5.867824214559775	-17.929164134956228	3.3800047896561325e-19	9.025880290177994e-16	28.346129668339405
ENSRNOG00000059369	LOC103691966	ENSG00000124233	SEMG1	-4.381465256454408	-5.867824214559775	-17.929164134956228	3.3800047896561325e-19	9.025880290177994e-16	28.346129668339405
ENSRNOG00000059369	LOC103691966	ENSG00000124157	SEMG2	-4.381465256454408	-5.867824214559775	-17.929164134956228	3.3800047896561325e-19	9.025880290177994e-16	28.346129668339405
ENSRNOG00000048418	Svs3a	ENSG00000124233	SEMG1	-4.381465256454408	-5.867824214559775	-17.929164134956228	3.3800047896561325e-19	9.025880290177994e-16	28.346129668339405
ENSRNOG00000048418	Svs3a	ENSG00000124157	SEMG2	-4.381465256454408	-5.867824214559775	-17.929164134956228	3.3800047896561325e-19	9.025880290177994e-16	28.346129668339405
ENSRNOG00000032967	Tuba3b			-12.042213530905178	-4.444371893289089	-16.806408758617323	2.5755622903174636e-18	6.1135263564502194e-15	31.564880946504616
ENSRNOG00000050039	AABR07070858.1			-11.83801846432754	-5.088608015679693	-16.57998074507296	3.929782380296369e-18	8.395194099027134e-15	31.154183334813766
ENSRNOG00000047279	Pga5			-14.125413275629176	-4.105255152567129	-16.33657860706876	6.220378471465579e-18	1.2080540480538105e-14	30.740835751616636
ENSRNOG00000027821	Lcn9	ENSG00000148386	LCN9	-8.377296191699974	-5.372989132890925	-15.823048003153689	1.668285823015123e-17	2.969965836422673e-14	28.776418089051308
ENSRNOG00000046276	Myh3	ENSG00000109063	MYH3	-11.113165931023273	-4.051180530174308	-15.601681196391429	2.571873457794036e-17	4.226379436834923e-14	29.310931036483765
ENSRNOG00000004839	B4galnt1	ENSG00000135454	B4GALNT1	-5.353226021370558	2.4658387219386277	-15.394355755185845	3.8738642661554874e-17	5.911240165562833e-14	28.994754215356714
ENSRNOG00000023256	Nxf7	ENSG00000269437	NXF2B	-12.108289175092597	-4.322778489782398	-15.327630611199954	4.423651167708402e-17	6.178393236353977e-14	28.823819731764484
ENSRNOG00000023256	Nxf7	ENSG00000269405	NXF2	-12.108289175092597	-4.322778489782398	-15.327630611199954	4.423651167708402e-17	6.178393236353977e-14	28.823819731764484
ENSRNOG00000023256	Nxf7	ENSG00000126952	NXF5	-12.108289175092597	-4.322778489782398	-15.327630611199954	4.423651167708402e-17	6.178393236353977e-14	28.823819731764484
ENSRNOG00000046583	Olr1365	ENSG00000168124	OR1F1	-3.332126842484958	-5.926212059308259	-15.274669316764026	4.916570005056294e-17	6.178393236353977e-14	25.713513913247088
