ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000023317	Colgalt1	ENSG00000130309	COLGALT1	5209.354084338588	-3.8549504462367885	0.24119278583736006	-15.982859656657558	1.6824711368769373e-57	2.9651871316319145e-53
ENSRNOG00000009313	Lrpap1	ENSG00000163956	LRPAP1	8277.480840303104	-4.138950362643033	0.2804313335686189	-14.759229327097543	2.683294499723536e-49	2.36451911315638e-45
ENSRNOG00000017147	Trim6	ENSG00000121236	TRIM6	800.568941586578	-4.719904989814442	0.3354148526204928	-14.071842534518908	5.657589982536048e-45	3.323645528407177e-41
ENSRNOG00000018532	Pcgf5	ENSG00000180628	PCGF5	942.9269608700887	-4.520089955048811	0.3265811701356644	-13.840632493205685	1.449257437766195e-43	6.385428270797856e-40
ENSRNOG00000024040	Mb21d2	ENSG00000180611	MB21D2	759.709749827073	-3.549191786670162	0.2583513044899447	-13.737851231977427	6.023715900213487e-43	2.12323938050725e-39
ENSRNOG00000008090	Txndc12	ENSG00000117862	TXNDC12	2439.7287735157956	-2.8411767185033217	0.20813746101928443	-13.650482256243532	2.0054696944365002e-42	5.890732982458147e-39
ENSRNOG00000006359	Galk1	ENSG00000108479	GALK1	3465.044445885138	-4.453693475763198	0.33895306575421436	-13.13955802657561	1.9536448226736818e-39	4.9187194792572813e-36
ENSRNOG00000030158	LOC500350	ENSG00000167863	ATP5PD	436.4032257717261	-4.584945727061178	0.3601156395156432	-12.731870610307139	3.933019605940176e-37	8.664442191886208e-34
ENSRNOG00000032699	Ttyh1	ENSG00000167614	TTYH1	214.4667473207385	-4.878030294926013	0.38571516654738475	-12.646716328502867	1.1664907959975708e-36	2.284248198740132e-33
ENSRNOG00000002680	Lamc1	ENSG00000135862	LAMC1	17992.37552164274	-5.832645507648921	0.46156197450009795	-12.636754823588015	1.324068313594027e-36	2.3335379958781134e-33
ENSRNOG00000005408	Natd1	ENSG00000274180	NATD1	1374.0614245864624	-2.464250280220344	0.2020955048538484	-12.193493774156149	3.366716036592719e-34	5.3940912208100074e-31
ENSRNOG00000060320	Lin28a	ENSG00000131914	LIN28A	480.2406876932976	-8.265564724579626	0.6917554812115537	-11.948679770636813	6.596480018464387e-33	9.688030320451364e-30
ENSRNOG00000050841	Ache	ENSG00000087085	ACHE	535.1636335512852	-4.679711140918548	0.39315887614262934	-11.902850030583698	1.1437318606313918e-32	1.5505484855205882e-29
ENSRNOG00000053623	LOC100360619			1860.8185514179927	-7.209282572980457	0.6106344102384244	-11.806217357068965	3.6250614992778383e-32	4.5634345616623304e-29
ENSRNOG00000020165	Ahsp	ENSG00000169877	AHSP	92.54392203165362	-6.769407976248832	0.5799969804239247	-11.671453826019947	1.7834906399067869e-31	2.0954826025144807e-28
ENSRNOG00000051458	Hic2	ENSG00000169635	HIC2	394.0183694409175	-3.3040601518433657	0.28653701948510374	-11.531006212672407	9.206137582595379e-31	1.014056054722881e-27
ENSRNOG00000060568	Ptpn21	ENSG00000070778	PTPN21	1475.6044710192232	-2.6949487979757243	0.2422312920035672	-11.12551881998812	9.425590311716594e-29	9.771564920805486e-26
ENSRNOG00000017003	Plxna1	ENSG00000114554	PLXNA1	4900.027378709745	-3.6260815829549804	0.32612359139156166	-11.118734365344672	1.0170449804129816e-28	9.958000408221326e-26
ENSRNOG00000005678	Lamb1	ENSG00000091136	LAMB1	20995.901409945698	-6.39857719284335	0.5811908035387368	-11.00942608500322	3.441892186350787e-28	3.192626731170856e-25
ENSRNOG00000000394	Srgn	ENSG00000122862	SRGN	6877.3152702943835	-5.537667140565722	0.5064050008866486	-10.935253662325596	7.81870135525822e-28	6.8898396342535435e-25
ENSRNOG00000029047	Cubn	ENSG00000107611	CUBN	3274.870388425361	-9.32976963624162	0.8622429005938901	-10.820349613566574	2.7572357903902107e-27	2.3139773128493842e-24
ENSRNOG00000052204	Tbc1d24	ENSG00000162065	TBC1D24	303.1620716980832	-3.951684727749506	0.3657316740896404	-10.804874195230225	3.264041283017114e-27	2.6147937987224368e-24
ENSRNOG00000052204	Tbc1d24	ENSG00000260272	AC093525.2	303.1620716980832	-3.951684727749506	0.3657316740896404	-10.804874195230225	3.264041283017114e-27	2.6147937987224368e-24
ENSRNOG00000020630	Il9r	ENSG00000124334	IL9R	622.8592628407191	-4.12246976095795	0.38459897539234367	-10.718878688515655	8.300348585861359e-27	6.27108395424409e-24
ENSRNOG00000003136	Fcrla	ENSG00000132185	FCRLA	1041.8191708794338	-8.201200150179908	0.7653052371175614	-10.716247259810782	8.539832892751824e-27	6.27108395424409e-24
ENSRNOG00000017899	Akr7a3	ENSG00000162482	AKR7A3	524.8085630547743	-6.204273617061793	0.58137045082314	-10.671807637070996	1.3791684801119444e-26	9.722586117397165e-24
ENSRNOG00000012878	Atp7b	ENSG00000123191	ATP7B	517.7772496794755	-5.841013253607211	0.5523420508535045	-10.574992877296609	3.892070726119218e-26	2.638225172197119e-23
ENSRNOG00000059793	Rab37	ENSG00000172794	RAB37	54.64805288711565	-5.961007770565818	0.5642959861474981	-10.563618946259355	4.3938839591144033e-26	2.7656361034082946e-23
ENSRNOG00000020377	Cideb	ENSG00000136305	CIDEB	62.50870860150554	-3.9646540715100924	0.37525654742690673	-10.56518293603481	4.3212531775738e-26	2.7656361034082946e-23
ENSRNOG00000012303	Apobec2	ENSG00000124701	APOBEC2	732.9202606980074	-6.204639901878978	0.6000937666329448	-10.339450677337442	4.672079160919571e-25	2.8393352804153973e-22
ENSRNOG00000037600	Sim1	ENSG00000112246	SIM1	101.52535416427588	-3.0622964203368066	0.29833869640920285	-10.264496215859793	1.018511931606602e-24	5.983418094211584e-22
ENSRNOG00000052424	RGD1306556	ENSG00000197077	KIAA1671	3097.9422242762503	3.054980662624165	0.29784950861233944	10.25679268989602	1.103098421967629e-24	6.271292447986288e-22
ENSRNOG00000007118	Eva1a	ENSG00000115363	EVA1A	648.9716115813271	-3.9390990135988084	0.38892952582248486	-10.128053418594636	4.148251352016962e-24	2.284649432123342e-21
